Latin Name,Common Name,Habit,Height,Hardiness,Soil,Shade,Moisture,Edible,Medicinal,Other
Cicuta virosa,"Cowbane, Mackenzie's water hemlock",Perennial,1.2,0-0,,LMH,SN,MWe,1,1,
Ciliosemina pedunculata,Ciliosemina,Shrub,3.0,10-12,,LMH,N,M,0,4,0
Cimicifuga foetida,Foetid Bugbane,Perennial,1.5,3-7,,LMH,S,M,1,3,
Cimicifuga simplex,,Perennial,1.5,4-8,,LMH,S,M,1,0,
Cinchona calisaya,"Peruvian Bark, Quinine",Tree,6.0,10-12,M,LM,SN,M,2,5,2
Cinchona micrantha,Huannco,Tree,8.0,10-12,M,LM,SN,M,2,4,2
Cinchona pubescens,"Quinine tree, Red Bark, Cinchona, Quina, Quinquina, Quinine Bark, Peruvian Bark, Jesuit's Bark",Tree,15.0,10-12,F,LM,SN,M,2,5,2
Cinnamomum camphora,"Camphor, Camphortree",Tree,6.0,9-11,S,LMH,SN,M,2,3,4
Cinnamomum verum,"Cinnamon, Ceylon Cinnamon Tree",Tree,10.0,10-12,S,LMH,SN,M,4,3,3
Cirsium acaulon,Stemless Thistle,Perennial,0.3,4-8,,LMH,N,M,0,1,
Cirsium arvense,"Creeping Thistle, Canada thistle",Perennial,0.9,4-7,F,LMH,N,M,2,2,2
Cirsium eriophorum,Wooly Thistle,Biennial,1.5,5-9,,LMH,N,M,2,0,
Cirsium foliosum,Elk thistle,Perennial,0.6,5-9,,LMH,N,MWe,3,0,2
Cirsium maackii,,Perennial,1.0,-,,LMH,N,M,1,0,
Cirsium occidentale,"Cobwebby Thistle, Snowy thistle, Compact cobwebby thistle",Perennial,1.0,8-11,,LMH,N,DM,2,0,2
Cirsium oleraceum,Cabbage Thistle,Perennial,1.2,-,,LMH,SN,MWe,2,0,
Cirsium palustre,Marsh Thistle,Biennial,1.5,4-8,,LMH,SN,MWe,2,0,
Cirsium tuberosum,Tuberous Thistle,Perennial,0.6,-,,LMH,N,M,3,0,
Cirsium verutum,,Perennial,1.5,-,,LMH,N,M,1,1,
Cirsium vulgare,"Common Thistle, Bull thistle, Dodder, Boar Thistle, Bull Thistle",Biennial,2.0,0-0,F,LMH,N,M,2,1,2
Cissus quadrangularis,Veldt Grape,Climber,5.0,10-12,F,LMH,N,DM,2,4,2
Cistus creticus,"Rock Rose, Cretan rockrose",Shrub,1.0,7-10,,LM,N,DM,2,2,
Cistus ladanifer,"Labdanum, Common gum cistus",Shrub,1.5,6-9,F,LM,N,DM,2,2,
Citrofortunella microcarpa,Calamondin Orange,Tree,5.0,-,,LMH,N,M,3,0,
Citroncirus,"Citrumelo,  Citroncirus, Citrange",Shrub,3.0,7-10,,LMH,N,M,2,0,
Citroncirus webberi,Citrange,Tree,0.0,6-9,,LMH,N,M,2,0,
Citrullus lanatus,Water Melon,Annual,0.5,8-11,,LM,N,DM,4,3,
Citrus aurantiifolia,"Lime, Key Lime, Mexican Lime, Mexican Thornless Key Lime",Tree,6.0,10-12,M,LMH,N,M,4,2,3
Citrus hystrix,Kaffir Lime,Shrub,6.0,9-12,M,LMH,N,M,3,2,3
Citrus latifolia,Citrus Tahitian Lime,Tree,5.0,9-11,M,LMH,S,M,4,2,2
Citrus limon,Lemon,Shrub,3.0,8-11,M,MH,N,M,4,5,5
Citrus reticulata,"Mandarin, Tangerine, Unshu orange, Satsuma Orange,Temple Orange, Tangerine",Tree,4.5,9-11,,MH,N,M,3,3,2
Citrus sinensis,Sweet Orange,Tree,9.0,9-11,,MH,N,M,4,3,3
Cladium mariscus,"Saw Grass, Swamp sawgrass, Jamaica swamp sawgrass",Perennial,3.0,3-7,F,LMH,SN,MWe,1,0,
Cladrastis lutea,"Yellow Wood, Virgilia, American Yellow Wood",Tree,15.0,4-8,S,LMH,N,M,0,0,
Clarisia racemosa,"Tulpay, Murur",Tree,25.0,10-12,M,MH,SN,M,1,0,4
Clarkia unguiculata,"Elegant Fairyfan, Elegant clarkia",Annual,0.6,0-0,,LMH,N,DM,1,0,
Claytonia exigua,"Pale Spring Beauty, Serpentine springbeauty",Annual,0.1,0-0,,LMH,FSN,DM,2,0,
Claytonia lanceolata,"Lanceleaf Spring Beauty, Idaho springbeauty,  Pacific springbeauty,  Peirson's springbeauty",Perennial,0.2,4-8,,LM,N,M,3,0,
Claytonia perfoliata,Miner's Lettuce,Annual,0.2,6-10,,LMH,FSN,DM,4,1,2
Claytonia sibirica,"Pink Purslane, Siberian springbeauty",Annual/Perennial,0.2,3-7,,LMH,FSN,DM,4,1,3
Claytonia virginica,"Spring Beauty, Virginia springbeauty, Hammond's claytonia, Yellow Virginia springbeauty",Perennial,0.2,5-7,M,LM,S,M,3,1,
Clematis chinensis,Wei Ling Xian,Climber,5.0,5-9,,LMH,SN,M,1,2,
Clematis douglasii,Hairy Clematis,Perennial,0.6,5-9,,LMH,SN,M,0,1,
Clematis terniflora,"Sennin-So, Sweet autumn virginsbower, Sweet Autumn Clematis, Fall  Clematis",Perennial Climber,5.0,5-9,F,LMH,SN,M,1,1,1
Cleome serrulata,Rocky Mountain Beeplant,Annual,1.0,3-8,,LM,SN,DM,3,1,2
Clerodendrum bungei,"Glory Flower, Rose glorybower, Cashmere Bouquet, Mexican Hydrangea, Glory Bower",Shrub,2.0,7-9,M,LMH,N,M,0,1,0
Clerodendrum trichotomum,"Chou Wu Tong, Harlequin glorybower, Ferruginous clerodendrum, Harlequin Glory Bower",Tree,6.0,6-11,M,LMH,N,M,1,3,
Clethra barbinervis,,Shrub,3.0,4-8,,LM,SN,M,1,0,
Cliftonia monophylla,"Ironwood, Buckwheat tree",Shrub,4.0,7-10,S,LM,N,M,0,0,
Clinopodium chinense,,Perennial,0.5,6-9,,LMH,SN,M,2,0,
Clinopodium glabellum,Glade calamint,Perennial,0.6,6-7,F,LMH,SN,MWe,0,0,3
Clinopodium umbrosum,,Perennial,0.6,6-9,,LM,SN,M,0,1,
Clinopodium vulgare,Wild Basil,Perennial,0.5,6-9,,LM,SN,M,2,1,
Clintonia udensis,,Perennial,0.3,3-7,,LM,FS,M,2,0,
Clintonia umbellulata,"Speckled Wood Lily, White clintonia",Perennial,0.2,4-8,,LM,FS,M,2,0,
Cnidoscolus aconitifolius,"Tree Spinach, Tread Softly, Cabbage Star, Chaya",Shrub,5.0,9-11,F,LMH,SN,M,4,3,2
Cnidoscolus elasticus,Highland chilte,Shrub,1.0,9-11,F,LMH,N,DM,0,0,4
Cocculus orbiculatus,Queen coralbead,Climber,4.0,6-9,,LMH,SN,M,1,2,
Cocos nucifera,"Coconut Palm, Coconut",Tree,25.0,10-12,M,LMH,N,M,5,2,5
Codonopsis javanica,,Perennial Climber,0.0,-,,LMH,SN,M,0,1,
Codonopsis lanceolata,Todok,Perennial Climber,1.5,6-9,,LM,SN,M,2,2,
Codonopsis pilosula,"Dang Shen, Bellflower",Perennial Climber,1.7,5-9,,LM,SN,M,2,3,
Codonopsis tangshen,Chuan Dang,Perennial Climber,3.0,4-8,,LM,SN,M,0,3,
Coelopleurum lucidum,,Perennial,1.2,-,,LMH,N,M,2,1,
Coffea arabica,Coffee Arabica,Shrub,6.0,9-11,M,MH,SN,M,3,3,3
Cola acuminata,"Cola Nut, Kola, Bissy Nut",Tree,20.0,10-12,M,LMH,N,M,3,4,2
Cola nitida,"Cola Nut, Kola, Bissy Nuts",Tree,20.0,10-12,S,LMH,SN,DM,3,4,2
Colchicum bivonae,,Bulb,0.2,5-9,,M,N,M,0,0,
Colletia armata,,Shrub,3.5,7-10,S,LM,SN,DM,0,0,
Colletia paradoxa,,Shrub,3.0,7-10,S,LM,N,M,0,0,
Collinsonia canadensis,"Stone Root - Horse Balm,  Richweed",Perennial,0.8,4-8,,LM,S,MWe,0,3,
Colophospermum mopane,"Rhodesian ironwood, Rhodesian mahogany",Tree,12.0,10-12,S,LMH,SN,MWe,1,2,3
Coluria geoides,,Perennial,0.3,-,,LMH,SN,M,2,0,
Comandra pallida,Pale Bastard Toadflax,Perennial,0.4,-,,LMH,N,M,1,1,
Commelina erecta,"Slender Day-Flower, Whitemouth dayflower",Perennial,1.2,8-11,,LM,SN,DM,2,0,
Commelina erecta angustifolia,Whitemouth Dayflower,Perennial,0.8,8-11,,LM,SN,DM,2,1,
Commelina tuberosa,Commelina,Perennial,0.1,7-10,,LM,SN,DM,2,0,
Commiphora wightii,"Guggul, Indian bdellium-tree",Shrub,4.0,10-12,S,LM,N,DM,2,3,4
Comptonia peregrina asplenifolia,Sweet Fern,Shrub,1.2,4-8,,LM,SN,DM,3,3,3
Conanthera campanulata,,Bulb,0.3,8-11,,LM,N,M,2,0,
Conioselinum pacificum,Pacific Hemlock-Parsley,Perennial,0.0,-,,LM,N,M,2,1,
Conopodium majus,Pignut,Perennial,0.3,6-9,,LMH,SN,M,3,0,0
Conradina verticillata,Cumberland Rosemary,Shrub,0.3,6-9,,L,N,M,1,0,
Consolida ambigua,"Larkspur, Doubtful knight's-spur, Rocket Larkspur",Annual,1.0,0-0,F,LMH,SN,M,0,2,
Convallaria keiskei,Lily Of The Valley,Perennial,0.3,3-7,,LMH,FSN,DMWe,1,0,
Convallaria majalis,"Lily Of The Valley,  European lily of the valley",Perennial,0.2,2-7,F,LMH,FSN,DMWe,1,3,3
Conyza canadensis,"Canada Fleabane, Canadian horseweed",Annual,1.0,6-9,,LM,SN,DM,1,3,1
Copaifera coriacea,Sapucaia tree,Tree,20.0,10-12,S,LMH,SN,M,2,4,2
Copaifera guyanensis,"Hoepel, Guyanense Copaiba",Tree,30.0,10-12,S,LMH,SN,M,2,4,3
Copaifera langsdorffii,"Copaiba, Langsdorf's copaifera",Tree,18.0,10-12,S,LMH,FS,M,1,4,3
Copaifera officinalis,"Copaiba Balsam, Medicinal Copaiba",Tree,22.0,10-12,S,LM,FS,DM,2,4,3
Copaifera reticulata,"Copaiba, Reticulated Copaiba, Copaiba Balsam",Tree,30.0,10-12,S,LM,FS,DM,0,4,3
Copernicia alba,"Caranday Palm, Caranda Palm, Caranda Palm Wax",Tree,18.0,10-12,M,LMH,SN,M,2,0,4
Coprosma atropurpurea,,Shrub,0.1,6-9,,LM,SN,M,1,0,
Coprosma billardieri,Native Currant,Shrub,3.0,8-11,,LM,SN,M,1,0,
Coprosma brunnea,,Shrub,0.1,7-10,,LM,SN,M,2,0,
Coprosma grandifolia,,Shrub,5.0,8-11,,LM,SN,M,1,1,
Coprosma pumila,,Shrub,0.1,6-9,,LM,SN,M,1,0,
Coprosma repens,"Mirror Plant, Creeping mirrorplant",Shrub,2.0,8-11,,LM,SN,M,1,0,
Coptis brachypetala,,Perennial,0.2,-,,LM,S,M,0,0,
Coptis japonica,,Perennial,0.2,6-9,,LMH,SN,M,0,2,
Coptis trifolia,"Goldthread, Threeleaf goldthread",Perennial,0.2,2-7,,LMH,S,M,2,2,2
Cordia alliodora,"Ecuador laurel, Cypre, Onion Cordia, Laurel Blanco",Tree,30.0,10-12,F,LMH,N,M,2,2,4
Cordia bicolor,Muneco,Tree,15.0,10-12,F,LMH,N,M,1,0,4
Cordyline australis,Cabbage Tree,Tree,15.0,7-10,S,LM,SN,M,3,0,3
Cordyline indivisa,Cabbage Tree,Tree,8.0,7-10,S,LM,SN,M,3,0,
Coreopsis rosea,Pink tickseed,Perennial,0.6,4-9,F,LM,SN,DMWe,0,0,3
Coreopsis tinctoria,"Coreopsis, Golden tickseed, Atkinson's tickseed, Dyer's Coreopsis, Plains Coreopsis, Annual  Coreops",Annual,0.8,2-11,M,LM,N,DM,1,1,1
Coreopsis tinctoria atkinsoniana,Coreopsis,Annual,0.6,-,,LM,N,DM,1,1,
Coreopsis verticillata,Whorled tickseed,Perennial,1.0,3-9,F,LM,N,DM,1,1,3
Coriaria microphylla,,Shrub,1.2,7-10,,LMH,SN,M,0,1,
Coriaria sarmentosa,Tuhu,Shrub,1.0,7-10,,LMH,N,M,2,0,
Cornus amomum,Silky Dogwood,Shrub,3.0,4-8,M,LMH,SN,M,1,2,
Cornus asperifolia drummondii,Roughleaf Dogwood,Shrub,4.0,5-9,F,LMH,N,M,0,0,
Cornus australis,,Shrub,4.0,6-9,,LMH,SN,M,1,0,
Cornus canadensis,"Creeping Dogwood, Bunchberry dogwood, Bunchberry",Perennial,0.3,2-7,F,LMH,SN,M,4,2,2
Cornus controversa,"Giant Dogwood, Wedding Cake Tree,",Tree,15.0,5-8,F,LMH,SN,M,2,1,
Cornus macrophylla,Large-Leaf Dogwood,Tree,15.0,5-9,,LMH,SN,M,2,2,
Cornus mas,"Cornelian Cherry, Cornelian Cherry Dogwood",Shrub,5.0,4-8,M,LMH,SN,M,4,2,3
Cornus oblonga,Oblong-Petal Dogwood,Tree,6.0,8-11,,LMH,SN,M,0,3,2
Cornus occidentalis,Western Dogwood,Shrub,6.0,5-9,,LMH,SN,M,1,1,
Cornus rugosa,Round-Leaved Dogwood,Shrub,3.0,4-8,,LMH,SN,DM,0,1,
Cornus sericea,"Red Osier Dogwood, Western dogwood",Shrub,2.5,2-7,F,LMH,SN,MWe,2,2,4
Cornus suecica,"Dwarf Cornel, Lapland cornel",Perennial,0.2,0-0,,LM,SN,M,2,1,
Coronilla varia,Crown Vetch,Perennial,0.3,4-9,F,LMH,N,DM,0,1,
Coronopus squamatus,"Crowfoot, Greater swinecress",Annual/Biennial,0.3,0-0,,LMH,SN,M,1,0,0
Correa alba,Cape Barren Tea,Shrub,1.5,8-11,,LM,N,M,1,0,
Cortaderia selloana,Pampas Grass,Perennial,3.0,7-11,F,LMH,N,DM,0,0,2
Corydalis ambigua,,Perennial,0.2,5-9,,LM,S,M,1,3,
Corydalis cava,,Perennial,0.2,5-9,,LM,S,M,0,3,
Corydalis intermedia,,Perennial,0.2,-,,LM,S,M,0,1,
Corydalis pallida,,Biennial,0.3,-,,LM,SN,M,1,0,
Corydalis solida,"Fumewort, Spring fumewort",Perennial,0.2,5-9,,LM,S,M,1,3,
Corydalis vaginans,,Annual/Biennial,0.0,4-8,,LM,SN,M,0,1,
Corylus avellana,"Common Hazel, Common filbert, European Filbert, Harry Lauder's Walking Stick, Corkscrew Hazel, Hazel",Tree,6.0,4-8,M,LMH,SN,M,5,2,5
Corylus avellana pontica,,Tree,0.0,-,,LMH,SN,M,4,0,
Corylus chinensis,Chinese Hazel,Tree,24.0,5-9,,LMH,SN,M,2,0,
Corylus cornuta californica,California Hazel,Shrub,8.0,4-8,,LMH,SN,M,3,0,4
Corylus jacquemontii,Indian Tree Hazel,Tree,25.0,6-9,,LMH,SN,M,3,0,
Corylus maxima,"Filbert, Giant filbert",Shrub,6.0,4-8,,LMH,SN,M,5,0,5
Corylus sieboldiana mandschurica,"Hairy hazel, Japanese hazelnut,",Shrub,4.5,5-9,,LMH,SN,M,3,0,1
Corylus tibetica,,Tree,15.0,6-9,,LMH,SN,M,2,0,
Corylus x colurnoides,Trazel,Tree,15.0,0-0,,LMH,SN,M,3,0,0
Corylus x vilmorinii,Chinese Trazel,Tree,25.0,4-8,,LMH,SN,M,2,0,
Corymbia citriodora,"Lemon-Scented Gum, blue spotted gum, lemon eucalyptus, eucalyptus citriodora.",Tree,45.0,10-12,F,LMH,N,M,2,3,4
Cosmos bipinnatus,"Cosmos, Garden cosmos, Common Cosmos",Annual,1.0,8-11,,LM,N,DM,0,0,1
Costus afer,"Spiral Ginger, Ginger lily, White spiral costus.",Perennial,4.0,10-12,F,LMH,FSN,M,2,4,2
Cotinus obovatus,"Chittamwood, American smoketree",Shrub,10.0,4-8,M,LMH,SN,M,0,0,
Cotoneaster bacillaris,,Shrub,5.0,5-9,F,LMH,SN,DM,0,1,
Cotoneaster serotinus,,Shrub,6.0,6-9,M,LMH,SN,DM,0,0,
Couma utilis,"Sorva, Milk Tree",Tree,12.0,10-12,M,LM,SN,M,4,2,2
Cowania mexicana,Cliffrose,Shrub,2.0,8-11,,LM,N,DM,0,2,
Crambe kotschyana,,Perennial,2.5,6-9,,LMH,SN,DM,2,1,
Crambe tatarica,Tartar Bread Plant,Perennial,1.0,4-8,,LMH,SN,M,3,0,2
Crassocephalum crepidioides,"Okinawa Spinach, Redflower Ragleaf, Fireweed",Perennial,0.8,10-12,F,LM,FSN,M,4,2,2
Crataegus apiifolia,Parsley-Leaved Hawthorn,Shrub,4.0,6-9,,LMH,SN,MWe,2,2,
Crataegus calpodendron,Pear Hawthorn,Tree,6.0,-,,LMH,SN,MWe,3,2,
Crataegus canadensis,Canadian hawthorn,Tree,9.0,0-0,,LMH,SN,MWe,2,2,
Crataegus canbyi,"Cockspur hawthorn, Dwarf Hawthorn, Cockspur Hawthorn",Shrub,5.0,4-7,M,LMH,SN,DMWe,2,2,
Crataegus columbiana,Columbian Hawthorn,Tree,5.0,4-8,,LMH,SN,MWe,3,2,
Crataegus crus-galli,"Cockspur Thorn, Cockspur hawthorn, Dwarf Hawthorn",Shrub,10.0,4-7,M,LMH,SN,DMWe,2,2,
Crataegus dispessa,Mink hawthorn,Tree,8.0,0-0,,LMH,SN,MWe,3,2,
Crataegus durobrivensis,Caughuawaga Hawthorn,Shrub,5.0,4-8,,LMH,SN,MWe,4,2,2
Crataegus ellwangeriana,Scarlet Hawthorn,Tree,6.0,5-7,,LMH,SN,MWe,5,2,2
Crataegus gemosa,Haw,Tree,8.0,0-0,,LMH,SN,MWe,3,2,0
Crataegus intricata,Copenhagen hawthorn,Shrub,3.0,4-8,,LMH,SN,MWe,3,2,3
Crataegus laciniata,,Tree,6.0,5-9,,LMH,SN,MWe,4,2,
Crataegus laevigata,"Midland Hawthorn, Smooth hawthorn, English  Hawthorn",Shrub,6.0,4-8,M,LMH,FSN,MWe,3,5,5
Crataegus missouriensis,,Tree,6.0,4-8,,LMH,SN,MWe,5,2,
Crataegus mollis,"Red Haw, Downy hawthorn",Tree,9.0,4-8,M,LMH,SN,MWe,4,2,2
Crataegus opaca,Western Mayhaw,Shrub,9.0,4-8,M,LMH,SN,MWe,3,2,3
Crataegus pedicellata,"Scarlet Haw, Scarlet hawthorn",Shrub,7.0,4-8,,LMH,SN,MWe,5,2,2
Crataegus pedicellata gloriosa,Scarlet Haw,Shrub,7.0,4-8,,LMH,SN,MWe,3,2,3
Crataegus phaenopyrum,"Washington Thorn, Washington Hawthorn",Tree,10.0,4-8,M,LMH,SN,MWe,2,2,
Crataegus pinnatifida,Chinese Haw,Tree,7.0,5-9,,LMH,SN,MWe,3,3,2
Crataegus pinnatifida major,Chinese Haw,Tree,7.5,5-9,,LMH,SN,MWe,4,3,2
Crataegus pubescens stipulacea,Manzanilla,Tree,9.0,6-9,,LMH,SN,DM,3,2,
Crataegus succulenta,Fleshy hawthorn,Shrub,6.0,4-8,,LMH,SN,DMWe,4,2,2
Crepis runcinata,"Fiddleleaf hawksbeard, Anderson's hawksbeard, Barber's hawksbeard, Hall's hawksbeard",Perennial,0.6,0-0,,LMH,SN,M,1,0,
Crescentia alata,Jicaro. Mexican calabash,Tree,8.0,9-12,M,LMH,N,DM,2,2,3
Crescentia cujete,Calabash Tree,Tree,10.0,10-12,S,LMH,N,M,3,2,4
Crinum bulbispermum,Hardy swamplily,Bulb,1.0,5-9,,LM,N,M,1,0,
Crithmum maritimum,Rock Samphire,Perennial,0.3,5-9,,L,N,DM,2,2,0
Crocus cancellatus,,Corm,0.1,4-8,,LM,N,M,1,0,
Crotalaria juncea,Sun Hemp,Annual,1.6,10-12,F,LMH,N,M,1,1,4
Crotalaria sessiliflora,,Annual,0.6,-,,LMH,SN,M,1,1,
Croton lechleri,"Sangre De Grado, Dragon's blood",Tree,12.0,10-12,F,LMH,N,M,0,4,1
Croton megalocarpus,Croton tree,Tree,25.0,10-12,F,LM,N,M,0,2,4
Croton palanostigma,"Sangre De Grado, Dragon's blood",Tree,12.0,10-12,F,LM,N,M,0,4,2
Croton salutaris,"Sangre De Grado, Dragon's blood",Tree,12.0,10-12,F,LM,N,M,0,4,0
Cruciata laevipes,"Crosswort, Smooth bedstraw",Perennial,0.6,0-0,,LMH,SN,DM,2,2,
Cryptomeria japonica,"Japanese Cedar, Sugi",Tree,20.0,5-8,F,LMH,N,M,0,1,
Cryptostegia grandiflora,India Rubber Vine,Climber,15.0,10-12,F,LMH,N,M,0,0,3
Cryptotaenia japonica,"Mitsuba, Japanese honewort",Perennial,1.0,4-8,,LMH,FSN,M,4,1,
Cucumis melo cantalupensis,Cantaloupe Melon,Annual Climber,1.5,9-11,,LMH,N,M,4,2,
Cucumis sativus,"Cucumber, Garden cucumber",Annual Climber,2.0,9-11,,LMH,N,M,4,2,
Cucurbita argyrosperma,Cushaw Pumpkin,Annual Climber,0.5,2-11,,LMH,SN,M,4,2,1
Cucurbita digitata,Coyote Gourd,Perennial,5.0,10-12,M,LMH,N,DM,3,0,3
Cucurbita ficifolia,"Malabar Gourd, Figleaf gourd",Perennial Climber,0.0,9-11,F,LMH,SN,MWe,3,2,
Cudrania tricuspidata,"Silkworm Thorn, Storehousebush",Tree,6.0,6-9,S,LM,N,M,2,2,2
Cuminum cyminum,Cumin - Jeera,Annual,0.3,8-12,F,LMH,N,DM,4,3,2
Cunila origanoides,"Stone Mint, Common dittany",Perennial,0.3,5-9,,LM,N,DM,2,2,2
Cunninghamia lanceolata,Chinese Fir,Tree,15.0,6-9,M,LMH,N,M,0,2,4
Cupressus funebris,"Chinese Weeping Cypress, Mourning-cypress",Tree,25.0,7-10,,LMH,N,DM,0,1,
Cupressus lusitanica,Mexican Cypress,Tree,35.0,9-12,F,MH,SN,M,0,2,4
Cupressus macrocarpa,Monterey Cypress,Tree,25.0,7-10,F,LMH,N,DM,0,1,
Curculigo orchioides,"Star grass, Golden-eyed grass",Perennial,0.5,10-12,,LMH,SN,M,1,4,0
Cuscuta chinensis,Chinese Dodder,Perennial,0.0,-,,LMH,SN,M,0,3,
Cuscuta japonica,Japanese Dodder,Annual Climber,1.0,5-9,,LMH,SN,M,1,2,0
Cyamopsis tetragonoloba,"Guar, Cluster Bean",Perennial,2.0,10-12,F,LM,N,DM,4,3,3
Cyanella lutea,Lady's Hand,Bulb,0.2,8-11,,L,SN,M,1,0,
Cyathodes glauca,Cheese Berry,Shrub,1.5,-,,LMH,S,M,1,0,
Cyathodes parviflora,Pink Mountain Berry,Shrub,1.0,-,S,LMH,S,M,2,0,
Cycas circinalis,"Sago Palm, Queen sago, Fern Palm, Queen Sago Palm",Shrub,3.5,10-11,S,MH,N,DM,2,1,
Cycas spp.,"Cycas, Sago Palm",Perennial,4.0,8-12,S,LMH,FSN,DMW,2,2,4
Cyclamen hederifolium,"Cyclamen, Alpine Violet, Persian Violet",Perennial,0.1,6-9,M,LM,FSN,M,0,1,
Cyclanthera brachystachya,Cuchinito,Annual,3.0,9-11,,LMH,S,M,1,0,
Cydonia oblonga,Quince,Tree,7.5,5-9,M,LMH,FSN,M,4,2,3
Cylindropuntia spp.,Cholla,Perennial,2.0,8-12,S,LMH,SN,D,3,0,4
Cymopterus acaulis,"Plains Springparsley, Fendler's springparsley, Greeley springparsley, Higgins' springparsley",Perennial,0.1,0-0,,LMH,SN,DM,4,0,
Cymopterus fendleri,Fendler's Springparsley,Perennial,0.0,-,,LMH,SN,DM,2,0,
Cymopterus purpurascens,"Gamote, Widewing springparsley",Perennial,0.3,6-9,M,LMH,N,D,4,0,1
Cynanchum ascyrifolium,Cruel Plant,Perennial,0.7,-,,LMH,SN,M,0,2,
Cynanchum japonicum,,Perennial Climber,0.6,-,,LMH,SN,M,0,2,
Cynara cardunculus,Cardoon,Perennial,2.0,5-9,,LMH,N,DM,3,5,1
Cynometra alexandri,"Uganda ironwood, Muhimbi",Tree,30.0,10-12,M,MH,N,M,0,0,4
Cyperus aristatus,,Perennial,1.5,7-10,,LM,N,MWe,2,0,
Cyperus articulatus,"Jointed flatsedge, Priprioca, Piripiri",Perennial,1.8,10-12,F,LMH,N,MWeWa,1,4,2
Cyperus giganteus,"Piripiri, Mexican Papyrus",Perennial,1.5,9-11,F,LMH,N,WeWa,0,2,3
Cyperus papyrus,Papyrus. Papyrus sedge,Perennial,5.0,9-12,F,LMH,N,WeWa,2,2,2
Cyperus rotundus,Nut Grass,Perennial,0.6,0-0,,LM,N,MWe,3,3,2
Cyperus textilis,"Flat sedge, Basket grass,",Perennial,1.5,9-12,F,LMH,FSN,MWeWa,0,0,4
Cyphomandra betacea,Tree Tomato,Tree,5.0,8-11,F,LMH,N,M,3,0,
Cyphomandra casana,Casana,Tree,2.0,8-11,F,LMH,N,M,3,0,
Cypripedium calceolus parviflorum,Nerve Root,Perennial,0.6,4-8,,LMH,SN,M,0,3,
Cypripedium calceolus pubescens,Nerve Root,Perennial,0.6,4-8,,LMH,SN,M,0,3,
Cyrilla racemiflora,"Leatherwood,  Swamp titi, Black Titi, Swamp, Myrtle, Titi Swamp, Leatherwood",Shrub,1.2,5-10,S,LM,N,M,0,1,
Dactylis glomerata,"Cock's Foot, Orchardgrass, Ascherson's orchardgrass",Perennial,1.0,4-8,,LMH,SN,M,0,1,2
Daucus carota sativus,Carrot,Biennial,1.2,4-10,,LMH,N,M,5,3,4
Delphinium elatum,"Candle larkspur, English Larkspur",Perennial,1.0,4-7,M,LMH,N,M,0,1,
Dendranthema indicum,Chrysanthemum,Perennial,0.6,5-9,,LMH,N,M,2,3,
Dendranthema lavandulifolium,,Perennial,1.5,5-9,,LMH,N,M,2,2,
Dendranthema x grandiflorum,"Chrysanthemum, Cut Mum, Garden Mum, Pot Mum, Florist's  Chrysanthemum",Perennial,1.5,5-10,M,LMH,N,M,2,3,
Dentaria diphylla,Crinkleroot,Perennial,0.3,3-8,,LM,FS,M,4,2,0
Dentaria laciniata,Cut-Leaved Toothwort,Perennial,0.3,5-9,,LM,S,M,3,0,
Dentaria maxima,Large Toothwort,Perennial,0.3,-,,LM,S,M,1,1,
Dianthus caryophyllus,"Carnation, Clove Pink, Border Carnation",Perennial,1.0,6-8,S,LMH,N,DM,2,2,
Dianthus chinensis,"Chinese Pink, Rainbow pink, Annual Pink, China Pink",Perennial,0.7,5-8,M,LMH,N,DM,0,3,
Dianthus gratianopolitanus,Cheddar Pink,Perennial,0.3,3-7,,LMH,N,D,0,0,
Dichopogon fimbriatus,Chocolate Lily,Perennial,0.5,-,,LMH,N,M,3,0,
Dichopogon strictus,Chocolate Lily,Perennial,0.9,8-11,,LMH,N,M,3,0,
Dichroa febrifuga,"Chinese Quinine, Dichroa",Shrub,2.0,8-11,M,LMH,SN,M,0,3,
Dichrostachys cinerea,"Marabou Thorn, Sickle Bush",Shrub,8.0,8-12,M,LMH,SN,M,2,2,4
Digitaria sanguinalis,"Crab Grass, Hairy crabgrass",Annual,0.5,6-9,F,LM,N,M,2,1,2
Dioscorea batatas,Chinese Yam,Perennial,3.0,4-11,,LMH,SN,M,5,5,3
Dioscorea trifida,"Cush Cush Yam, Sweet yam",Perennial Climber,3.0,10-12,F,LMH,SN,M,4,0,0
Diospyros quaesita,"Calamander, kalu mediriya",Tree,30.0,10-12,S,LMH,N,DM,0,2,4
Dipteryx odorata,"Tonka Bean, Brazilian Teak",Tree,30.0,10-12,M,LMH,SN,M,3,2,4
Dryopteris crassirhizoma,Crown Wood-Fern,Fern,1.0,5-9,,LMH,S,M,1,4,
Dryopteris cristata,Crested Wood Fern,Fern,0.5,4-8,,LMH,S,M,0,4,
Duboisia myoporoides,Corkwood,Tree,10.0,10-12,F,LM,N,M,0,3,2
Dudleya edulis,"Mission Lettuce, Fingertips",Perennial,0.5,7-10,,LM,N,DM,3,0,
Dudleya lanceolata,Lanceleaf Liveforever,Perennial,0.0,0-0,,LMH,SN,M,1,0,
Dudleya pulverulenta,"Chalk Lettuce, Chalk dudleya",Perennial,0.0,7-10,,LMH,SN,M,2,0,
Eleocharis dulcis,Chinese Water Chestnut,Perennial,1.0,9-12,,LMH,N,WeWa,4,1,2
